Node Number	Directional Deformation (µm)
962	8.2782e-002
963	0.15015
964	1.9347
965	1.9587
966	0.96197
967	4.9053e-004
968	-6.1166e-004
969	-9.4807e-003
970	5.3996e-003
971	6.2909e-004
972	-2.5536e-003
973	-2.1705e-003
974	8.0967e-002
975	2.2355e-002
976	3.7873e-003
977	2.2423e-003
978	9.85e-004
979	1.8508e-003
980	-4.7708e-004
981	1.7367e-002
982	-2.0067e-002
983	2.733
984	5.5442e-002
985	4.5769e-003
986	3.5363
987	1.0988e-002
988	-1.2837e-004
989	3.2565e-003
990	1.3067e-002
991	3.6044e-003
992	0.73677
993	0.65302
994	0.77528
995	0.71714
996	0.51826
997	0.2136
998	3.8122e-002
999	1.3461
1000	0.2188
1001	0.25128
1002	1.3606
1003	-2.7522e-002
1004	6.2391e-003
1005	0.17612
1006	-3.7737e-002
1007	8.1521e-003
1008	-8.4832e-003
1009	9.16e-003
1010	-4.33e-004
1011	2.5216e-002
1012	-6.627e-003
1013	1.4369e-002
1014	5.6014e-003
1015	7.0083e-003
1016	0.49596
1017	1.2306
1018	0.17512
1019	2.1438e-002
1020	1.09e-002
1021	5.3904e-003
1022	-8.7182e-003
1023	7.4693e-003
1024	0.62888
1025	0.69106
1026	1.3908
1027	1.246
1028	8.6191e-003
1029	2.599e-003
1030	-9.9452e-003
1031	1.2061e-002
1032	7.7068e-003
1033	-3.2139e-003
1034	7.6036e-002
1035	0.14309
1036	8.6687e-002
1037	8.8305e-003
1038	7.359e-003
1039	1.7832e-002
1040	-2.3693e-002
1041	3.9797e-002
1042	-6.7219e-002
1043	1.799
1044	0.66597
1045	5.4348e-002
1046	8.9755e-003
1047	-1.2367e-003
1048	5.8062e-003
1049	0.62972
1050	0.27184
1051	0.11599
1052	1.2118
1053	6.7492e-002
1054	0.95446
1055	7.5786e-002
1056	0.87242
1057	4.5034e-002
1058	1.2999e-002
1059	3.9533e-002
1060	-1.7921e-002
1061	-2.4147e-002
1062	5.4753e-002
1063	0.12118
1064	-2.2571e-002
1065	-6.1025e-003
1066	1.0709
1067	-5.503e-004
1068	2.3152e-003
1069	-2.9135e-003
1070	2.9212
1071	8.7108e-002
1072	-3.9433e-002
1073	1.1844
1074	0.82124
1075	0.66286
1076	1.4471e-002
1077	1.1516e-002
1078	1.0232
1079	-1.7633e-002
1080	3.8267e-002
1081	1.3704e-003
1082	5.2052e-002
1083	0.71971
1084	1.1721e-002
1085	1.0064
1086	0.17619
1087	0.64859
1088	0.82255
1089	4.7002e-002
1090	2.0055
1091	0.2951
1092	2.9848e-002
1093	2.2253e-003
1094	3.3007
1095	2.0208e-002
1096	1.354e-003
1097	8.7409e-003
1098	1.508
1099	1.6299e-002
1100	0.15076
1101	3.5373e-002
1102	-4.6957e-002
1103	-4.0198e-004
1104	1.0642e-002
1105	0.36224
1106	8.4031e-002
1107	8.8707e-003
1108	1.5733
1109	1.5513
1110	0.31169
1111	2.805e-002
1112	0.14624
1113	6.4561e-003
1114	1.5482e-002
1115	4.8827e-003
1116	-9.8644e-003
1117	3.5324e-002
1118	-2.4585e-002
1119	1.859
1120	6.2129e-002
1121	-4.2217e-003
1122	1.3027e-002
1123	0.11316
1124	0.43428
1125	0.61834
1126	2.4008e-003
1127	4.2632e-002
1128	5.1327e-003
1129	2.1706e-003
1130	3.6913e-003
1131	2.2805e-002
1132	-4.6237e-003
1133	-1.6517e-002
1134	9.5611e-002
1135	6.6426e-002
1136	0.45894
1137	0.73804
1138	-4.6208e-002
1139	1.0777e-002
1140	0.21986
1141	1.2705
1142	-4.3431e-003
1143	-1.3821e-002
1144	7.6521e-002
1145	2.9101e-002
1146	6.4845e-002
1147	0.50993
1148	6.0325e-003
1149	2.8451
1150	-7.8998e-003
1151	-7.9066e-003
1152	-1.8203e-002
1153	0.96539
1154	-1.5855e-002
1155	6.7394e-003
1156	7.5988e-002
1157	9.8113e-004
1158	5.3112e-003
1159	0.97976
1160	-1.7613e-003
1161	1.8832e-002
1162	0.96091
1163	1.2787e-002
1164	5.561e-002
1165	2.8609
1166	1.054
1167	8.14e-002
1168	0.93064
1169	0.96534
1170	7.9444e-003
1171	1.7265e-003
1172	1.0282e-002
1173	2.5563e-003
1174	1.0081e-002
1175	2.8406
1176	6.0848e-002
1177	7.1276e-002
1178	1.0703e-002
1179	8.1373e-003
1180	6.2761e-002
1181	1.1552e-003
1182	0.8651
1183	1.9493e-003
1184	0.68002
1185	6.5994e-002
1186	0.52727
1187	1.3494
1188	3.9813e-002
1189	0.1487
1190	2.1924
1191	1.2542
1192	1.5585
1193	6.1954e-002
1194	7.1494e-002
1195	2.0826
1196	1.8965e-003
1197	1.3703e-002
1198	6.6055e-002
1199	3.3193
1200	0.12037
1201	0.22322
1202	0.34123
1203	0.11985
1204	1.397
1205	1.402
1206	-6.7377e-003
1207	-4.7876e-003
1208	4.0027e-002
1209	4.6615e-002
1210	0.15425
1211	0.36293
1212	8.6102e-003
1213	3.239e-003
1214	-2.9253e-002
1215	-1.6019e-003
1216	7.9922e-002
1217	0.16031
1218	1.1586e-002
1219	1.0952
1220	1.8561
1221	7.1988e-003
1222	7.3648e-003
1223	3.9568e-004
1224	9.6696e-004
1225	2.0241e-002
1226	2.0394e-002
1227	2.3103
1228	1.3783
1229	1.5983e-002
1230	2.1667e-002
1231	-1.5302e-002
1232	-1.0041e-002
1233	2.5629
1234	1.9773
1235	0.71464
1236	4.8692e-002
1237	2.0484
1238	1.1995
1239	-4.0424e-002
1240	-1.8193e-002
1241	3.5155e-002
1242	1.9887e-002
1243	2.0909e-002
1244	1.791e-003
1245	0.35284
1246	0.57781
1247	0.9887
1248	1.0215
1249	-2.3848e-002
1250	-1.6103e-002
1251	1.699e-002
1252	3.5067e-002
1253	0.5913
1254	6.9107e-002
1255	-1.7144e-002
1256	4.1428e-003
1257	0.66951
1258	1.3403e-002
1259	3.4141
1260	8.4796e-002
1261	8.0423e-004
1262	5.9689e-004
1263	2.0913
1264	7.8013e-002
1265	8.1285e-002
1266	5.3833e-003
1267	6.1123e-002
1268	3.6516e-003
1269	4.0648e-002
1270	6.0463e-002
1271	9.6169e-002
1272	1.2842
1273	-1.036e-002
1274	6.8291e-003
1275	7.3739e-003
1276	1.6729
1277	-2.1653e-002
1278	3.2943e-002
1279	1.0593e-002
1280	0.1728
1281	7.2677e-003
1282	0.54757
1283	0.48982
1284	6.4394e-002
1285	2.0259e-002
1286	1.4604
1287	0.32916
1288	6.0242e-002
1289	8.0237e-002
1290	1.5564
1291	1.2978e-002
1292	7.7068e-003
1293	1.0323e-002
1294	1.2976e-002
1295	6.2328e-002
1296	-8.5571e-003
1297	-1.6873e-002
1298	-3.6826e-002
1299	0.11278
1300	2.4638
1301	0.1623
1302	6.9501e-002
1303	1.3464e-002
1304	8.4488e-003
1305	-1.5634e-002
1306	1.6663
1307	1.3169e-003
1308	4.7234e-004
1309	0.31469
1310	2.3453e-003
1311	9.9776e-003
1312	1.9064e-003
1313	5.6808e-004
1314	2.8618e-003
1315	2.8456
1316	2.2611
1317	0.35035
1318	6.5332e-002
1319	-6.3629e-003
1320	3.3335
1321	6.3411e-003
1322	2.6919e-003
1323	5.7648e-002
1324	1.0535e-002
1325	-3.815e-004
1326	-5.3936e-003
1327	4.5343e-003
1328	7.4433e-003
1329	0.17305
1330	3.9278e-003
1331	3.4452e-003
1332	1.0094
1333	1.1569
1334	0.87165
1335	0.21192
1336	6.5919e-002
1337	0.82658
1338	-2.1327e-004
1339	1.2686e-002
1340	-4.2923e-002
1341	0.36562
1342	1.213e-003
1343	0.19088
1344	7.0732e-003
